message_id,variant_filename,vocab_type,codepoint,salt_mode,fragment_max_positions,subject_original_tokens,subject_salted_tokens,body_original_tokens,body_salted_tokens
00115.c97af50ef7ccd816f95bbdc6f4d226b2,00115__salted__extended__cp200C__single.c97af50ef7ccd816f95bbdc6f4d226b2,extended,200C,single,,,,click,cl‌ick
00115.c97af50ef7ccd816f95bbdc6f4d226b2,00115__salted__extended__cp200D__single.c97af50ef7ccd816f95bbdc6f4d226b2,extended,200D,single,,,,click,cl‍ick
00115.c97af50ef7ccd816f95bbdc6f4d226b2,00115__salted__extended__cp00AD__single.c97af50ef7ccd816f95bbdc6f4d226b2,extended,00AD,single,,,,click,cl­ick
00117.9f0ba9c35b1fe59307e32b7c2c0d4e61,00117__salted__extended__cp200B__single.9f0ba9c35b1fe59307e32b7c2c0d4e61,extended,200B,single,,,,"Removal, receive, guaranteed","Re​moval, re​ceive, gu​aranteed"
00117.9f0ba9c35b1fe59307e32b7c2c0d4e61,00117__salted__extended__cp200C__single.9f0ba9c35b1fe59307e32b7c2c0d4e61,extended,200C,single,,,,"Removal, receive, guaranteed","Re‌moval, re‌ceive, gu‌aranteed"
00117.9f0ba9c35b1fe59307e32b7c2c0d4e61,00117__salted__extended__cp200D__single.9f0ba9c35b1fe59307e32b7c2c0d4e61,extended,200D,single,,,,"Removal, receive, guaranteed","Re‍moval, re‍ceive, gu‍aranteed"
00117.9f0ba9c35b1fe59307e32b7c2c0d4e61,00117__salted__extended__cp00AD__single.9f0ba9c35b1fe59307e32b7c2c0d4e61,extended,00AD,single,,,,"Removal, receive, guaranteed","Re­moval, re­ceive, gu­aranteed"
00117.b3ceb6525a1dc935463f3e3080110039,00117__salted__extended__cp200B__single.b3ceb6525a1dc935463f3e3080110039,extended,200B,single,,,,"MONTHLY, receive, receive","MO​NTHLY, re​ceive, re​ceive"
00117.b3ceb6525a1dc935463f3e3080110039,00117__salted__extended__cp200C__single.b3ceb6525a1dc935463f3e3080110039,extended,200C,single,,,,"MONTHLY, receive, receive","MO‌NTHLY, re‌ceive, re‌ceive"
00117.b3ceb6525a1dc935463f3e3080110039,00117__salted__extended__cp200D__single.b3ceb6525a1dc935463f3e3080110039,extended,200D,single,,,,"MONTHLY, receive, receive","MO‍NTHLY, re‍ceive, re‍ceive"
00117.b3ceb6525a1dc935463f3e3080110039,00117__salted__extended__cp00AD__single.b3ceb6525a1dc935463f3e3080110039,extended,00AD,single,,,,"MONTHLY, receive, receive","MO­NTHLY, re­ceive, re­ceive"
00118.141d803810acd9d4fc23db103dddfcd9,00118__salted__extended__cp200B__single.141d803810acd9d4fc23db103dddfcd9,extended,200B,single,,Viagra,Vi​agra,,
00118.141d803810acd9d4fc23db103dddfcd9,00118__salted__extended__cp200C__single.141d803810acd9d4fc23db103dddfcd9,extended,200C,single,,Viagra,Vi‌agra,,
00118.141d803810acd9d4fc23db103dddfcd9,00118__salted__extended__cp200D__single.141d803810acd9d4fc23db103dddfcd9,extended,200D,single,,Viagra,Vi‍agra,,
00118.141d803810acd9d4fc23db103dddfcd9,00118__salted__extended__cp00AD__single.141d803810acd9d4fc23db103dddfcd9,extended,00AD,single,,Viagra,Vi­agra,,
00118.b31615605a37b4878bd1de4f829c89cb,00118__salted__extended__cp200B__single.b31615605a37b4878bd1de4f829c89cb,extended,200B,single,,Viagra,Vi​agra,"VIAGRA, prescription, PRESCRIPTION","VI​AGRA, pr​escription, PR​ESCRIPTION"
00118.b31615605a37b4878bd1de4f829c89cb,00118__salted__extended__cp200C__single.b31615605a37b4878bd1de4f829c89cb,extended,200C,single,,Viagra,Vi‌agra,"VIAGRA, prescription, PRESCRIPTION","VI‌AGRA, pr‌escription, PR‌ESCRIPTION"
00118.b31615605a37b4878bd1de4f829c89cb,00118__salted__extended__cp200D__single.b31615605a37b4878bd1de4f829c89cb,extended,200D,single,,Viagra,Vi‍agra,"VIAGRA, prescription, PRESCRIPTION","VI‍AGRA, pr‍escription, PR‍ESCRIPTION"
00118.b31615605a37b4878bd1de4f829c89cb,00118__salted__extended__cp00AD__single.b31615605a37b4878bd1de4f829c89cb,extended,00AD,single,,Viagra,Vi­agra,"VIAGRA, prescription, PRESCRIPTION","VI­AGRA, pr­escription, PR­ESCRIPTION"
00120.58579af867ff9a702cff23e7b8818a59,00120__salted__extended__cp200B__single.58579af867ff9a702cff23e7b8818a59,extended,200B,single,,,,"Guaranteed, zzzz","Gu​aranteed, zz​zz"
00120.58579af867ff9a702cff23e7b8818a59,00120__salted__extended__cp200C__single.58579af867ff9a702cff23e7b8818a59,extended,200C,single,,,,"Guaranteed, zzzz","Gu‌aranteed, zz‌zz"
00120.58579af867ff9a702cff23e7b8818a59,00120__salted__extended__cp200D__single.58579af867ff9a702cff23e7b8818a59,extended,200D,single,,,,"Guaranteed, zzzz","Gu‍aranteed, zz‍zz"
00120.58579af867ff9a702cff23e7b8818a59,00120__salted__extended__cp00AD__single.58579af867ff9a702cff23e7b8818a59,extended,00AD,single,,,,"Guaranteed, zzzz","Gu­aranteed, zz­zz"
00120.b6b2f20782980f83878f075f29d7c517,00120__salted__extended__cp200B__single.b6b2f20782980f83878f075f29d7c517,extended,200B,single,,Mortgage,Mo​rtgage,,
00120.b6b2f20782980f83878f075f29d7c517,00120__salted__extended__cp200C__single.b6b2f20782980f83878f075f29d7c517,extended,200C,single,,Mortgage,Mo‌rtgage,,
00120.b6b2f20782980f83878f075f29d7c517,00120__salted__extended__cp200D__single.b6b2f20782980f83878f075f29d7c517,extended,200D,single,,Mortgage,Mo‍rtgage,,
00120.b6b2f20782980f83878f075f29d7c517,00120__salted__extended__cp00AD__single.b6b2f20782980f83878f075f29d7c517,extended,00AD,single,,Mortgage,Mo­rtgage,,
00124.db848e36f1b4c2705cbc16ef33a302d4,00124__salted__extended__cp200B__single.db848e36f1b4c2705cbc16ef33a302d4,extended,200B,single,,Guaranteed,Gu​aranteed,"Guaranteed, zzzz","Gu​aranteed, zz​zz"
00124.db848e36f1b4c2705cbc16ef33a302d4,00124__salted__extended__cp200C__single.db848e36f1b4c2705cbc16ef33a302d4,extended,200C,single,,Guaranteed,Gu‌aranteed,"Guaranteed, zzzz","Gu‌aranteed, zz‌zz"
00124.db848e36f1b4c2705cbc16ef33a302d4,00124__salted__extended__cp200D__single.db848e36f1b4c2705cbc16ef33a302d4,extended,200D,single,,Guaranteed,Gu‍aranteed,"Guaranteed, zzzz","Gu‍aranteed, zz‍zz"
00124.db848e36f1b4c2705cbc16ef33a302d4,00124__salted__extended__cp00AD__single.db848e36f1b4c2705cbc16ef33a302d4,extended,00AD,single,,Guaranteed,Gu­aranteed,"Guaranteed, zzzz","Gu­aranteed, zz­zz"
00125.ea96729a0da6d9025d5178f2d6916e42,00125__salted__extended__cp200B__single.ea96729a0da6d9025d5178f2d6916e42,extended,200B,single,,ADV,AD​V,,
00125.ea96729a0da6d9025d5178f2d6916e42,00125__salted__extended__cp200C__single.ea96729a0da6d9025d5178f2d6916e42,extended,200C,single,,ADV,AD‌V,,
00125.ea96729a0da6d9025d5178f2d6916e42,00125__salted__extended__cp200D__single.ea96729a0da6d9025d5178f2d6916e42,extended,200D,single,,ADV,AD‍V,,
00125.ea96729a0da6d9025d5178f2d6916e42,00125__salted__extended__cp00AD__single.ea96729a0da6d9025d5178f2d6916e42,extended,00AD,single,,ADV,AD­V,,
00127.3500d109361b544b0937523adb763588,00127__salted__extended__cp200B__single.3500d109361b544b0937523adb763588,extended,200B,single,,zzzz,zz​zz,"Guaranteed, herbal, Click","Gu​aranteed, he​rbal, Cl​ick"
00127.3500d109361b544b0937523adb763588,00127__salted__extended__cp200C__single.3500d109361b544b0937523adb763588,extended,200C,single,,zzzz,zz‌zz,"Guaranteed, herbal, Click","Gu‌aranteed, he‌rbal, Cl‌ick"
00127.3500d109361b544b0937523adb763588,00127__salted__extended__cp200D__single.3500d109361b544b0937523adb763588,extended,200D,single,,zzzz,zz‍zz,"Guaranteed, herbal, Click","Gu‍aranteed, he‍rbal, Cl‍ick"
00127.3500d109361b544b0937523adb763588,00127__salted__extended__cp00AD__single.3500d109361b544b0937523adb763588,extended,00AD,single,,zzzz,zz­zz,"Guaranteed, herbal, Click","Gu­aranteed, he­rbal, Cl­ick"
00128.721b6b20d5834d490662e2ae8c5c0684,00128__salted__extended__cp200B__single.721b6b20d5834d490662e2ae8c5c0684,extended,200B,single,,,,click,cl​ick
00128.721b6b20d5834d490662e2ae8c5c0684,00128__salted__extended__cp200C__single.721b6b20d5834d490662e2ae8c5c0684,extended,200C,single,,,,click,cl‌ick
00128.721b6b20d5834d490662e2ae8c5c0684,00128__salted__extended__cp200D__single.721b6b20d5834d490662e2ae8c5c0684,extended,200D,single,,,,click,cl‍ick
00128.721b6b20d5834d490662e2ae8c5c0684,00128__salted__extended__cp00AD__single.721b6b20d5834d490662e2ae8c5c0684,extended,00AD,single,,,,click,cl­ick
00129.1080cea3a532759b015dc071d033749d,00129__salted__extended__cp200B__single.1080cea3a532759b015dc071d033749d,extended,200B,single,,ADV,AD​V,"Removal, receive, toll","Re​moval, re​ceive, to​ll"
00129.1080cea3a532759b015dc071d033749d,00129__salted__extended__cp200C__single.1080cea3a532759b015dc071d033749d,extended,200C,single,,ADV,AD‌V,"Removal, receive, toll","Re‌moval, re‌ceive, to‌ll"
00129.1080cea3a532759b015dc071d033749d,00129__salted__extended__cp200D__single.1080cea3a532759b015dc071d033749d,extended,200D,single,,ADV,AD‍V,"Removal, receive, toll","Re‍moval, re‍ceive, to‍ll"
00129.1080cea3a532759b015dc071d033749d,00129__salted__extended__cp00AD__single.1080cea3a532759b015dc071d033749d,extended,00AD,single,,ADV,AD­V,"Removal, receive, toll","Re­moval, re­ceive, to­ll"
00130.c8128e89eff5b0e61aa864ebfd96afba,00130__salted__extended__cp200B__single.c8128e89eff5b0e61aa864ebfd96afba,extended,200B,single,,zzzz,zz​zz,,
00130.c8128e89eff5b0e61aa864ebfd96afba,00130__salted__extended__cp200C__single.c8128e89eff5b0e61aa864ebfd96afba,extended,200C,single,,zzzz,zz‌zz,,
00130.c8128e89eff5b0e61aa864ebfd96afba,00130__salted__extended__cp200D__single.c8128e89eff5b0e61aa864ebfd96afba,extended,200D,single,,zzzz,zz‍zz,,
00130.c8128e89eff5b0e61aa864ebfd96afba,00130__salted__extended__cp00AD__single.c8128e89eff5b0e61aa864ebfd96afba,extended,00AD,single,,zzzz,zz­zz,,
00131.d955acc659fb151479460f9dd2f87efe,00131__salted__extended__cp200B__single.d955acc659fb151479460f9dd2f87efe,extended,200B,single,,,,"lenders, loan, Loans","le​nders, lo​an, Lo​ans"
00131.d955acc659fb151479460f9dd2f87efe,00131__salted__extended__cp200C__single.d955acc659fb151479460f9dd2f87efe,extended,200C,single,,,,"lenders, loan, Loans","le‌nders, lo‌an, Lo‌ans"
00131.d955acc659fb151479460f9dd2f87efe,00131__salted__extended__cp200D__single.d955acc659fb151479460f9dd2f87efe,extended,200D,single,,,,"lenders, loan, Loans","le‍nders, lo‍an, Lo‍ans"
00131.d955acc659fb151479460f9dd2f87efe,00131__salted__extended__cp00AD__single.d955acc659fb151479460f9dd2f87efe,extended,00AD,single,,,,"lenders, loan, Loans","le­nders, lo­an, Lo­ans"
00132.0ead3e293c6c41cbffb69670e8b85ae7,00132__salted__extended__cp200B__single.0ead3e293c6c41cbffb69670e8b85ae7,extended,200B,single,,HGH,HG​H,"NBC, CBS, Oprah","NB​C, CB​S, Op​rah"
00132.0ead3e293c6c41cbffb69670e8b85ae7,00132__salted__extended__cp200C__single.0ead3e293c6c41cbffb69670e8b85ae7,extended,200C,single,,HGH,HG‌H,"NBC, CBS, Oprah","NB‌C, CB‌S, Op‌rah"
00132.0ead3e293c6c41cbffb69670e8b85ae7,00132__salted__extended__cp200D__single.0ead3e293c6c41cbffb69670e8b85ae7,extended,200D,single,,HGH,HG‍H,"NBC, CBS, Oprah","NB‍C, CB‍S, Op‍rah"
00132.0ead3e293c6c41cbffb69670e8b85ae7,00132__salted__extended__cp00AD__single.0ead3e293c6c41cbffb69670e8b85ae7,extended,00AD,single,,HGH,HG­H,"NBC, CBS, Oprah","NB­C, CB­S, Op­rah"
00134.651c69499f4c81f5049c03f9c0c71b44,00134__salted__extended__cp200B__single.651c69499f4c81f5049c03f9c0c71b44,extended,200B,single,,ADV,AD​V,,
00134.651c69499f4c81f5049c03f9c0c71b44,00134__salted__extended__cp200C__single.651c69499f4c81f5049c03f9c0c71b44,extended,200C,single,,ADV,AD‌V,,
00134.651c69499f4c81f5049c03f9c0c71b44,00134__salted__extended__cp200D__single.651c69499f4c81f5049c03f9c0c71b44,extended,200D,single,,ADV,AD‍V,,
00134.651c69499f4c81f5049c03f9c0c71b44,00134__salted__extended__cp00AD__single.651c69499f4c81f5049c03f9c0c71b44,extended,00AD,single,,ADV,AD­V,,
00137.09969121c8540730f1020b5a700b4c42,00137__salted__extended__cp200B__single.09969121c8540730f1020b5a700b4c42,extended,200B,single,,,,"Insurance, Guaranteed, Unlimited","In​surance, Gu​aranteed, Un​limited"
00137.09969121c8540730f1020b5a700b4c42,00137__salted__extended__cp200C__single.09969121c8540730f1020b5a700b4c42,extended,200C,single,,,,"Insurance, Guaranteed, Unlimited","In‌surance, Gu‌aranteed, Un‌limited"
00137.09969121c8540730f1020b5a700b4c42,00137__salted__extended__cp200D__single.09969121c8540730f1020b5a700b4c42,extended,200D,single,,,,"Insurance, Guaranteed, Unlimited","In‍surance, Gu‍aranteed, Un‍limited"
00137.09969121c8540730f1020b5a700b4c42,00137__salted__extended__cp00AD__single.09969121c8540730f1020b5a700b4c42,extended,00AD,single,,,,"Insurance, Guaranteed, Unlimited","In­surance, Gu­aranteed, Un­limited"
00138.c15973a4d40bed4333079296be2522ca,00138__salted__extended__cp200B__single.c15973a4d40bed4333079296be2522ca,extended,200B,single,,,,"qualified, qualified, qualified","qu​alified, qu​alified, qu​alified"
00138.c15973a4d40bed4333079296be2522ca,00138__salted__extended__cp200C__single.c15973a4d40bed4333079296be2522ca,extended,200C,single,,,,"qualified, qualified, qualified","qu‌alified, qu‌alified, qu‌alified"
00138.c15973a4d40bed4333079296be2522ca,00138__salted__extended__cp200D__single.c15973a4d40bed4333079296be2522ca,extended,200D,single,,,,"qualified, qualified, qualified","qu‍alified, qu‍alified, qu‍alified"
00138.c15973a4d40bed4333079296be2522ca,00138__salted__extended__cp00AD__single.c15973a4d40bed4333079296be2522ca,extended,00AD,single,,,,"qualified, qualified, qualified","qu­alified, qu­alified, qu­alified"
00140.eba666846fa0a138a90aeef51a627022,00140__salted__extended__cp200B__single.eba666846fa0a138a90aeef51a627022,extended,200B,single,,,,click,cl​ick
00140.eba666846fa0a138a90aeef51a627022,00140__salted__extended__cp200C__single.eba666846fa0a138a90aeef51a627022,extended,200C,single,,,,click,cl‌ick
00140.eba666846fa0a138a90aeef51a627022,00140__salted__extended__cp200D__single.eba666846fa0a138a90aeef51a627022,extended,200D,single,,,,click,cl‍ick
00140.eba666846fa0a138a90aeef51a627022,00140__salted__extended__cp00AD__single.eba666846fa0a138a90aeef51a627022,extended,00AD,single,,,,click,cl­ick
00141.29b1847b5d4131c536a812cdc88326eb,00141__salted__extended__cp200B__single.29b1847b5d4131c536a812cdc88326eb,extended,200B,single,,Currency,Cu​rrency,,
00141.29b1847b5d4131c536a812cdc88326eb,00141__salted__extended__cp200C__single.29b1847b5d4131c536a812cdc88326eb,extended,200C,single,,Currency,Cu‌rrency,,
00141.29b1847b5d4131c536a812cdc88326eb,00141__salted__extended__cp200D__single.29b1847b5d4131c536a812cdc88326eb,extended,200D,single,,Currency,Cu‍rrency,,
00141.29b1847b5d4131c536a812cdc88326eb,00141__salted__extended__cp00AD__single.29b1847b5d4131c536a812cdc88326eb,extended,00AD,single,,Currency,Cu­rrency,,
00142.141444128e16c8ae1631c27821debc9b,00142__salted__extended__cp200B__single.141444128e16c8ae1631c27821debc9b,extended,200B,single,,Currency,Cu​rrency,,
00142.141444128e16c8ae1631c27821debc9b,00142__salted__extended__cp200C__single.141444128e16c8ae1631c27821debc9b,extended,200C,single,,Currency,Cu‌rrency,,
00142.141444128e16c8ae1631c27821debc9b,00142__salted__extended__cp200D__single.141444128e16c8ae1631c27821debc9b,extended,200D,single,,Currency,Cu‍rrency,,
00142.141444128e16c8ae1631c27821debc9b,00142__salted__extended__cp00AD__single.141444128e16c8ae1631c27821debc9b,extended,00AD,single,,Currency,Cu­rrency,,
00142.eddc7114a8566cbf83fa8210bf0d3603,00142__salted__extended__cp200B__single.eddc7114a8566cbf83fa8210bf0d3603,extended,200B,single,,,,"zzzz, Click, Removal","zz​zz, Cl​ick, Re​moval"
00142.eddc7114a8566cbf83fa8210bf0d3603,00142__salted__extended__cp200C__single.eddc7114a8566cbf83fa8210bf0d3603,extended,200C,single,,,,"zzzz, Click, Removal","zz‌zz, Cl‌ick, Re‌moval"
00142.eddc7114a8566cbf83fa8210bf0d3603,00142__salted__extended__cp200D__single.eddc7114a8566cbf83fa8210bf0d3603,extended,200D,single,,,,"zzzz, Click, Removal","zz‍zz, Cl‍ick, Re‍moval"
00142.eddc7114a8566cbf83fa8210bf0d3603,00142__salted__extended__cp00AD__single.eddc7114a8566cbf83fa8210bf0d3603,extended,00AD,single,,,,"zzzz, Click, Removal","zz­zz, Cl­ick, Re­moval"
00143.13c0751d4b9f10098bb3ac85a435d884,00143__salted__extended__cp200B__single.13c0751d4b9f10098bb3ac85a435d884,extended,200B,single,,inkjet,in​kjet,,
00143.13c0751d4b9f10098bb3ac85a435d884,00143__salted__extended__cp200C__single.13c0751d4b9f10098bb3ac85a435d884,extended,200C,single,,inkjet,in‌kjet,,
00143.13c0751d4b9f10098bb3ac85a435d884,00143__salted__extended__cp200D__single.13c0751d4b9f10098bb3ac85a435d884,extended,200D,single,,inkjet,in‍kjet,,
00143.13c0751d4b9f10098bb3ac85a435d884,00143__salted__extended__cp00AD__single.13c0751d4b9f10098bb3ac85a435d884,extended,00AD,single,,inkjet,in­kjet,,
00143.95e60a4160434f341761931c65844a38,00143__salted__extended__cp200B__single.95e60a4160434f341761931c65844a38,extended,200B,single,,Currency,Cu​rrency,,
00143.95e60a4160434f341761931c65844a38,00143__salted__extended__cp200C__single.95e60a4160434f341761931c65844a38,extended,200C,single,,Currency,Cu‌rrency,,
00143.95e60a4160434f341761931c65844a38,00143__salted__extended__cp200D__single.95e60a4160434f341761931c65844a38,extended,200D,single,,Currency,Cu‍rrency,,
00143.95e60a4160434f341761931c65844a38,00143__salted__extended__cp00AD__single.95e60a4160434f341761931c65844a38,extended,00AD,single,,Currency,Cu­rrency,,
00144.4eeba2f228a8658e0d2e3a64764f4f31,00144__salted__extended__cp200B__single.4eeba2f228a8658e0d2e3a64764f4f31,extended,200B,single,,,,click,cl​ick
00144.4eeba2f228a8658e0d2e3a64764f4f31,00144__salted__extended__cp200C__single.4eeba2f228a8658e0d2e3a64764f4f31,extended,200C,single,,,,click,cl‌ick
00144.4eeba2f228a8658e0d2e3a64764f4f31,00144__salted__extended__cp200D__single.4eeba2f228a8658e0d2e3a64764f4f31,extended,200D,single,,,,click,cl‍ick
00144.4eeba2f228a8658e0d2e3a64764f4f31,00144__salted__extended__cp00AD__single.4eeba2f228a8658e0d2e3a64764f4f31,extended,00AD,single,,,,click,cl­ick
00145.b6788a48c1eace0b7c34ff7de32766f6,00145__salted__extended__cp200B__single.b6788a48c1eace0b7c34ff7de32766f6,extended,200B,single,,,,"Removal, receive, mlm","Re​moval, re​ceive, ml​m"
00145.b6788a48c1eace0b7c34ff7de32766f6,00145__salted__extended__cp200C__single.b6788a48c1eace0b7c34ff7de32766f6,extended,200C,single,,,,"Removal, receive, mlm","Re‌moval, re‌ceive, ml‌m"
00145.b6788a48c1eace0b7c34ff7de32766f6,00145__salted__extended__cp200D__single.b6788a48c1eace0b7c34ff7de32766f6,extended,200D,single,,,,"Removal, receive, mlm","Re‍moval, re‍ceive, ml‍m"
00145.b6788a48c1eace0b7c34ff7de32766f6,00145__salted__extended__cp00AD__single.b6788a48c1eace0b7c34ff7de32766f6,extended,00AD,single,,,,"Removal, receive, mlm","Re­moval, re­ceive, ml­m"
00150.f97c73fa56460a6afc6d9418ad76b5b5,00150__salted__extended__cp200B__single.f97c73fa56460a6afc6d9418ad76b5b5,extended,200B,single,,,,"insurance, earn, Commissions","in​surance, ea​rn, Co​mmissions"
00150.f97c73fa56460a6afc6d9418ad76b5b5,00150__salted__extended__cp200C__single.f97c73fa56460a6afc6d9418ad76b5b5,extended,200C,single,,,,"insurance, earn, Commissions","in‌surance, ea‌rn, Co‌mmissions"
00150.f97c73fa56460a6afc6d9418ad76b5b5,00150__salted__extended__cp200D__single.f97c73fa56460a6afc6d9418ad76b5b5,extended,200D,single,,,,"insurance, earn, Commissions","in‍surance, ea‍rn, Co‍mmissions"
00150.f97c73fa56460a6afc6d9418ad76b5b5,00150__salted__extended__cp00AD__single.f97c73fa56460a6afc6d9418ad76b5b5,extended,00AD,single,,,,"insurance, earn, Commissions","in­surance, ea­rn, Co­mmissions"
00152.8ed8aaed94054e507af5b9c760dd7be6,00152__salted__extended__cp200B__single.8ed8aaed94054e507af5b9c760dd7be6,extended,200B,single,,,,"Click, click","Cl​ick, cl​ick"
00152.8ed8aaed94054e507af5b9c760dd7be6,00152__salted__extended__cp200C__single.8ed8aaed94054e507af5b9c760dd7be6,extended,200C,single,,,,"Click, click","Cl‌ick, cl‌ick"
00152.8ed8aaed94054e507af5b9c760dd7be6,00152__salted__extended__cp200D__single.8ed8aaed94054e507af5b9c760dd7be6,extended,200D,single,,,,"Click, click","Cl‍ick, cl‍ick"
00152.8ed8aaed94054e507af5b9c760dd7be6,00152__salted__extended__cp00AD__single.8ed8aaed94054e507af5b9c760dd7be6,extended,00AD,single,,,,"Click, click","Cl­ick, cl­ick"
00153.6a5ffe584834ea334041ab958cadcadb,00153__salted__extended__cp200B__single.6a5ffe584834ea334041ab958cadcadb,extended,200B,single,,,,"Click, click","Cl​ick, cl​ick"
00153.6a5ffe584834ea334041ab958cadcadb,00153__salted__extended__cp200C__single.6a5ffe584834ea334041ab958cadcadb,extended,200C,single,,,,"Click, click","Cl‌ick, cl‌ick"
00153.6a5ffe584834ea334041ab958cadcadb,00153__salted__extended__cp200D__single.6a5ffe584834ea334041ab958cadcadb,extended,200D,single,,,,"Click, click","Cl‍ick, cl‍ick"
00153.6a5ffe584834ea334041ab958cadcadb,00153__salted__extended__cp00AD__single.6a5ffe584834ea334041ab958cadcadb,extended,00AD,single,,,,"Click, click","Cl­ick, cl­ick"
00154.b6c448ccff434e2dbe2c7c200a36aa31,00154__salted__extended__cp200B__single.b6c448ccff434e2dbe2c7c200a36aa31,extended,200B,single,,,,"currency, currency, currency","cu​rrency, cu​rrency, cu​rrency"
00154.b6c448ccff434e2dbe2c7c200a36aa31,00154__salted__extended__cp200C__single.b6c448ccff434e2dbe2c7c200a36aa31,extended,200C,single,,,,"currency, currency, currency","cu‌rrency, cu‌rrency, cu‌rrency"
00154.b6c448ccff434e2dbe2c7c200a36aa31,00154__salted__extended__cp200D__single.b6c448ccff434e2dbe2c7c200a36aa31,extended,200D,single,,,,"currency, currency, currency","cu‍rrency, cu‍rrency, cu‍rrency"
00154.b6c448ccff434e2dbe2c7c200a36aa31,00154__salted__extended__cp00AD__single.b6c448ccff434e2dbe2c7c200a36aa31,extended,00AD,single,,,,"currency, currency, currency","cu­rrency, cu­rrency, cu­rrency"
00155.1c37ce73590cc67186717a491ed0db5f,00155__salted__extended__cp200B__single.1c37ce73590cc67186717a491ed0db5f,extended,200B,single,,,,"Lagos, Nigeria, Sir","La​gos, Ni​geria, Si​r"
00155.1c37ce73590cc67186717a491ed0db5f,00155__salted__extended__cp200C__single.1c37ce73590cc67186717a491ed0db5f,extended,200C,single,,,,"Lagos, Nigeria, Sir","La‌gos, Ni‌geria, Si‌r"
00155.1c37ce73590cc67186717a491ed0db5f,00155__salted__extended__cp200D__single.1c37ce73590cc67186717a491ed0db5f,extended,200D,single,,,,"Lagos, Nigeria, Sir","La‍gos, Ni‍geria, Si‍r"
00155.1c37ce73590cc67186717a491ed0db5f,00155__salted__extended__cp00AD__single.1c37ce73590cc67186717a491ed0db5f,extended,00AD,single,,,,"Lagos, Nigeria, Sir","La­gos, Ni­geria, Si­r"
00156.0b541afe96820e3bb8f900b565608269,00156__salted__extended__cp200B__single.0b541afe96820e3bb8f900b565608269,extended,200B,single,,Attn,At​tn,,
00156.0b541afe96820e3bb8f900b565608269,00156__salted__extended__cp200C__single.0b541afe96820e3bb8f900b565608269,extended,200C,single,,Attn,At‌tn,,
00156.0b541afe96820e3bb8f900b565608269,00156__salted__extended__cp200D__single.0b541afe96820e3bb8f900b565608269,extended,200D,single,,Attn,At‍tn,,
00156.0b541afe96820e3bb8f900b565608269,00156__salted__extended__cp00AD__single.0b541afe96820e3bb8f900b565608269,extended,00AD,single,,Attn,At­tn,,
00157.52b0a260de7c64f539b0e5d16198b5bf,00157__salted__extended__cp200B__single.52b0a260de7c64f539b0e5d16198b5bf,extended,200B,single,,,,"Nigeria, Lagos, Deposit","Ni​geria, La​gos, De​posit"
00157.52b0a260de7c64f539b0e5d16198b5bf,00157__salted__extended__cp200C__single.52b0a260de7c64f539b0e5d16198b5bf,extended,200C,single,,,,"Nigeria, Lagos, Deposit","Ni‌geria, La‌gos, De‌posit"
00157.52b0a260de7c64f539b0e5d16198b5bf,00157__salted__extended__cp200D__single.52b0a260de7c64f539b0e5d16198b5bf,extended,200D,single,,,,"Nigeria, Lagos, Deposit","Ni‍geria, La‍gos, De‍posit"
00157.52b0a260de7c64f539b0e5d16198b5bf,00157__salted__extended__cp00AD__single.52b0a260de7c64f539b0e5d16198b5bf,extended,00AD,single,,,,"Nigeria, Lagos, Deposit","Ni­geria, La­gos, De­posit"
00159.6b641c70d79fd5a69b84a94b4e88150a,00159__salted__extended__cp200B__single.6b641c70d79fd5a69b84a94b4e88150a,extended,200B,single,,,,"receive, receive","re​ceive, re​ceive"
00159.6b641c70d79fd5a69b84a94b4e88150a,00159__salted__extended__cp200C__single.6b641c70d79fd5a69b84a94b4e88150a,extended,200C,single,,,,"receive, receive","re‌ceive, re‌ceive"
00159.6b641c70d79fd5a69b84a94b4e88150a,00159__salted__extended__cp200D__single.6b641c70d79fd5a69b84a94b4e88150a,extended,200D,single,,,,"receive, receive","re‍ceive, re‍ceive"
00159.6b641c70d79fd5a69b84a94b4e88150a,00159__salted__extended__cp00AD__single.6b641c70d79fd5a69b84a94b4e88150a,extended,00AD,single,,,,"receive, receive","re­ceive, re­ceive"
00159.b16f070a576c2eb1533aa9e2cf8e6b77,00159__salted__extended__cp200B__single.b16f070a576c2eb1533aa9e2cf8e6b77,extended,200B,single,,,,"buyers, Receive, Receive","bu​yers, Re​ceive, Re​ceive"
00159.b16f070a576c2eb1533aa9e2cf8e6b77,00159__salted__extended__cp200C__single.b16f070a576c2eb1533aa9e2cf8e6b77,extended,200C,single,,,,"buyers, Receive, Receive","bu‌yers, Re‌ceive, Re‌ceive"
00159.b16f070a576c2eb1533aa9e2cf8e6b77,00159__salted__extended__cp200D__single.b16f070a576c2eb1533aa9e2cf8e6b77,extended,200D,single,,,,"buyers, Receive, Receive","bu‍yers, Re‍ceive, Re‍ceive"
00159.b16f070a576c2eb1533aa9e2cf8e6b77,00159__salted__extended__cp00AD__single.b16f070a576c2eb1533aa9e2cf8e6b77,extended,00AD,single,,,,"buyers, Receive, Receive","bu­yers, Re­ceive, Re­ceive"
00160.66e11a17d619ce33d5a455a87015ee25,00160__salted__extended__cp200B__single.66e11a17d619ce33d5a455a87015ee25,extended,200B,single,,,,"receive, receive","re​ceive, re​ceive"
