rule_type;selector;source;file;line;pattern
header;header;lua;misc.lua;253;local rcvds = task:get_received_headers()
header;header;lua;misc.lua;270;-- Ignore artificial header from Rmilter
header;header;lua;misc.lua;323;description = 'Authenticated hand-off was seen in Received headers',
header;header;lua;misc.lua;335;-- Check Received headers
header;header;lua;misc.lua;572;-- First check for a Reply-To header
header;header;lua;misc.lua;573;local rt = task:get_header_full('Reply-To')
header;header;lua;misc.lua;577;-- Get From and To headers
header;header;lua;misc.lua;609;-- Parse Reply-To header
header;header;lua;misc.lua;628;if not task:has_header('List-Unsubscribe') then
header;header;lua;misc.lua;650;description = 'info@ From/To address with List-Unsubscribe headers',
mime;mime;lua;misc.lua;663;local cte = p:get_mimepart():get_cte() or ''
lua;lua;lua;misc.lua;664;if cte ~= '8bit' and p:has_8bit_raw() then
mime;mime;lua;misc.lua;665;local _, _, attrs = p:get_mimepart():get_type_full()
mime;mime;lua;misc.lua;711;if string.find(subtype:lower(), 'pkcs7%-mime') then
mime;mime;lua;misc.lua;714;table.insert(opts, 'smime part')
mime;mime;lua;misc.lua;755;group = 'mime_types',
body_words;words;lua;html.lua;144;local l = p:get_words_count()
body_words;words;lua;html.lua;146;local pic_words = 0
body_words;words;lua;html.lua;156;-- We assume that a single picture 100x200 contains approx 3 words of text
body_words;words;lua;html.lua;157;pic_words = pic_words + dim / 100
body_words;words;lua;html.lua;164;if l + pic_words > 0 then
body_words;words;lua;html.lua;165;local rel = pic_words / (l + pic_words)
header;header;lua;rspamd.lua;29;dofile(local_rules .. '/regexp/headers.lua')
header;header;lua;rspamd.lua;35;dofile(local_rules .. '/headers_checks.lua')
header;header;lua;subject_checks.lua;29;local sbj = task:get_header('Subject')
